"","FORPORT_NAME","PORT","PORT_NAME","YEAR","TYPE_PROC","STATE","FORPORT.x","CTRY_F","CTRY_F_NAME","CTRY_C","CTRY_C_NAME","PMS_COMM","PMS_NAME","TONNAGE","COASTDST","Good_Category","Dom_Lat","Dom_Lon","FORPORT.y","Country Name","For_Lat","For_Lon"
"860","Beirut",2017,"Jacksonville, FL","2018","Export","FL",50401,"5040","Lebanon",4890,"Turkey",70,"All Manufactured Equipment, Machinery and Products",6651,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,50401,"Lebanon",33.906,35.5215
"861","Beirut",2017,"Jacksonville, FL","2018","Export","FL",50401,"5040","Lebanon",5040,"Lebanon",32,"Other Chemicals and Related Products",3,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,50401,"Lebanon",33.906,35.5215
"862","Beirut",2017,"Jacksonville, FL","2018","Export","FL",50401,"5040","Lebanon",5040,"Lebanon",70,"All Manufactured Equipment, Machinery and Products",6651,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,50401,"Lebanon",33.906,35.5215
"863","Beirut",700,"Baltimore, MD","2018","Export","MD",50401,"5040","Lebanon",5040,"Lebanon",70,"All Manufactured Equipment, Machinery and Products",749,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,50401,"Lebanon",33.906,35.5215
"864","Beirut",2017,"Jacksonville, FL","2018","Export","FL",50401,"5040","Lebanon",4840,"Greece",70,"All Manufactured Equipment, Machinery and Products",6651,"South Atlantic","Industrial goods",30.3683817857143,-81.5721939428571,50401,"Lebanon",33.906,35.5215
"865","Beirut",700,"Baltimore, MD","2018","Export","MD",50401,"5040","Lebanon",5040,"Lebanon",51,"Paper & Allied Products",58,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,50401,"Lebanon",33.906,35.5215
"866","Beirut",700,"Baltimore, MD","2018","Export","MD",50401,"5040","Lebanon",5040,"Lebanon",68,"Other Agricultural Products; Food and Kindred Products",11,"North Atlantic","Agricultural goods",39.2406340648148,-76.5608341388889,50401,"Lebanon",33.906,35.5215
"867","Beirut",2017,"Jacksonville, FL","2018","Export","FL",50401,"5040","Lebanon",5040,"Lebanon",55,"Primary Wood Products; Veneer; Plywood",4,"South Atlantic","Wood and Wood Products",30.3683817857143,-81.5721939428571,50401,"Lebanon",33.906,35.5215
"868","Beirut",700,"Baltimore, MD","2018","Export","MD",50401,"5040","Lebanon",5040,"Lebanon",32,"Other Chemicals and Related Products",55,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,50401,"Lebanon",33.906,35.5215
"869","Beirut",700,"Baltimore, MD","2018","Export","MD",50401,"5040","Lebanon",5040,"Lebanon",99,"Unknown or Not Elsewhere Classified",44,"North Atlantic","Other Goods",39.2406340648148,-76.5608341388889,50401,"Lebanon",33.906,35.5215
"870","Bejaia",2017,"Jacksonville, FL","2018","Export","FL",72107,"7210","Algeria",7210,"Algeria",41,"Forest Products, Lumber, Logs, Woodchips",210,"South Atlantic","Wood and Wood Products",30.3683817857143,-81.5721939428571,72107,"Algeria",36.75118,5.07971
"871","Belawan",700,"Baltimore, MD","2018","Export","MD",56073,"5600","Indonesia",5600,"Indonesia",70,"All Manufactured Equipment, Machinery and Products",21,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,56073,"Indonesia",3.7852,98.68243
"872","Belawan",700,"Baltimore, MD","2018","Export","MD",56073,"5600","Indonesia",5600,"Indonesia",32,"Other Chemicals and Related Products",95,"North Atlantic","Industrial goods",39.2406340648148,-76.5608341388889,56073,"Indonesia",3.7852,98.68243
"873","Belawan",700,"Baltimore, MD","2018","Export","MD",56073,"5600","Indonesia",5600,"Indonesia",41,"Forest Products, Lumber, Logs, Woodchips",163,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,56073,"Indonesia",3.7852,98.68243
"874","Belawan",766,"Wilmington, NC","2018","Export","NC",56073,"5600","Indonesia",5600,"Indonesia",41,"Forest Products, Lumber, Logs, Woodchips",28,"South Atlantic","Wood and Wood Products",34.2029665882353,-77.9545586470588,56073,"Indonesia",3.7852,98.68243
"875","Belem",2416,"Port Arthur, TX","2018","Export","TX",35121,"3510","Brazil",3510,"Brazil",10,"Coal,Lignite & Coal Coke",13999,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,35121,"Brazil",-1.45,-48.5
"876","Belem",2417,"Galveston, TX","2018","Export","TX",35121,"3510","Brazil",3510,"Brazil",31,"Fertilizers",6557,"Gulf of Mexico","Industrial goods",29.3124683918919,-94.8089730675676,35121,"Brazil",-1.45,-48.5
"877","Belem",2017,"Jacksonville, FL","2018","Export","FL",35121,"3510","Brazil",3510,"Brazil",99,"Unknown or Not Elsewhere Classified",20,"South Atlantic","Other Goods",30.3683817857143,-81.5721939428571,35121,"Brazil",-1.45,-48.5
"878","Belem",2416,"Port Arthur, TX","2018","Export","TX",35121,"3510","Brazil",3510,"Brazil",24,"Petroleum Pitches, Coke, Asphalt, Naptha and Solvents",66965,"Gulf of Mexico","Coal, Oil, and Petrochemicals",29.893605027027,-93.920496972973,35121,"Brazil",-1.45,-48.5
"879","Belfast",766,"Wilmington, NC","2018","Export","NC",41801,"4120","United Kingdom",4120,"United Kingdom",55,"Primary Wood Products; Veneer; Plywood",9,"South Atlantic","Wood and Wood Products",34.2029665882353,-77.9545586470588,41801,"United Kingdom",54.60004,-5.92977
"880","Belfast",766,"Wilmington, NC","2018","Export","NC",41801,"4120","United Kingdom",4120,"United Kingdom",99,"Unknown or Not Elsewhere Classified",28,"South Atlantic","Other Goods",34.2029665882353,-77.9545586470588,41801,"United Kingdom",54.60004,-5.92977
"881","Belfast",766,"Wilmington, NC","2018","Export","NC",41801,"4120","United Kingdom",4120,"United Kingdom",68,"Other Agricultural Products; Food and Kindred Products",27,"South Atlantic","Agricultural goods",34.2029665882353,-77.9545586470588,41801,"United Kingdom",54.60004,-5.92977
"882","Belfast",700,"Baltimore, MD","2018","Export","MD",41801,"4120","United Kingdom",4120,"United Kingdom",41,"Forest Products, Lumber, Logs, Woodchips",25,"North Atlantic","Wood and Wood Products",39.2406340648148,-76.5608341388889,41801,"United Kingdom",54.60004,-5.92977
"883","Belfast",766,"Wilmington, NC","2018","Export","NC",41801,"4120","United Kingdom",4120,"United Kingdom",51,"Paper & Allied Products",932,"South Atlantic","Wood and Wood Products",34.2029665882353,-77.9545586470588,41801,"United Kingdom",54.60004,-5.92977
"884","Belfast",766,"Wilmington, NC","2018","Export","NC",41801,"4120","United Kingdom",4120,"United Kingdom",54,"Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",0,"South Atlantic","Industrial goods",34.2029665882353,-77.9545586470588,41801,"United Kingdom",54.60004,-5.92977
